"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
"","GO Biological Processes","GO:0051649","establishment of localization in cell","810","3","21.429","3.6952","1.886","0.0437796932189987","1.35872728602443","1","0.116881599570722","0.810073159210346","pk,baz,unc-13-4A","FBgn0003090,FBgn0000163,FBgn0035756"
"","GO Biological Processes","GO:0045934","negative regulation of nucleobase-containing compound metabolic process","348","2","14.286","5.734","2.52","0.0462290777114232","1.33508477082398","1","0.118322350124667","0.820058591965843","zfh1,CG42458","FBgn0004606,FBgn0259935"
"","GO Biological Processes","GO:0030855","epithelial cell differentiation","362","2","14.286","5.5122","2.463","0.04963237741498","1.30423492138785","1","0.119449232442167","0.827868693148132","baz,pk","FBgn0000163,FBgn0003090"
"","GO Biological Processes","GO:0034330","cell junction organization","387","2","14.286","5.1561","2.366","0.0559341595138417","1.2523228833941","1","0.12946051435865","0.897254043790291","Sdc,baz","FBgn0010415,FBgn0000163"
"","GO Biological Processes","GO:0000226","microtubule cytoskeleton organization","392","2","14.286","5.0904","2.348","0.0572279337254244","1.24239193446635","1","0.130352515707911","0.90343625171412","baz,pk","FBgn0000163,FBgn0003090"
"","GO Biological Processes","GO:0050794","regulation of cellular process","3965","7","50","1.7614","0.817","0.071761622949424","1.14410774791813","1","0.153698401391677","1","baz,dcma,Fili,CG42458,zfh1,Sdc,pk","FBgn0000163,FBgn0085380,FBgn0085397,FBgn0259935,FBgn0004606,FBgn0010415,FBgn0003090"
"","GO Molecular Function","GO:0005515","protein binding","2446","5","35.714","2.0395","1.028","0.0822251607877111","1.08499526860058","1","0.16618747285967","1","baz,fred,eIF5B,Fas3,pk","FBgn0000163,FBgn0051774,FBgn0026259,FBgn0000636,FBgn0003090"
"","GO Biological Processes","GO:0007017","microtubule-based process","531","2","14.286","3.7579","1.91","0.0971156889595449","1.01271060450848","1","0.182768542500914","1","baz,pk","FBgn0000163,FBgn0003090"
"","GO Biological Processes","GO:0009790","embryo development","597","2","14.286","3.3424","1.741","0.11828697555219","0.92706307242376","1","0.20515747968439","1","zfh1,baz","FBgn0004606,FBgn0000163"
"","GO Biological Processes","GO:0051239","regulation of multicellular organismal process","613","2","14.286","3.2552","1.703","0.123596253181621","0.907994694677714","1","0.207439325515352","1","pk,Sdc","FBgn0003090,FBgn0010415"
"","GO Biological Processes","GO:0051641","cellular localization","1254","3","21.429","2.3869","1.255","0.124718305548268","0.904069798204365","1","0.208712266427714","1","pk,baz,unc-13-4A","FBgn0003090,FBgn0000163,FBgn0035756"
"","GO Molecular Function","GO:0043167","ion binding","2007","4","28.571","1.9885","0.992","0.13005160241389","0.885884292332217","1","0.216375709523399","1","eIF5B,baz,CG32373,pk","FBgn0026259,FBgn0000163,FBgn0052373,FBgn0003090"
"","GO Biological Processes","GO:0051234","establishment of localization","2054","4","28.571","1.943","0.958","0.138655353981282","0.858063356092365","1","0.225462246983727","1","path,pk,unc-13-4A,baz","FBgn0036007,FBgn0003090,FBgn0035756,FBgn0000163"
"","GO Cellular Component","GO:0012505","endomembrane system","1337","3","21.429","2.2387","1.163","0.14385059715937","0.842088330906218","1","0.231289195432712","1","Fas3,path,unc-13-4A","FBgn0000636,FBgn0036007,FBgn0035756"
"","GO Biological Processes","GO:0007010","cytoskeleton organization","696","2","14.286","2.867","1.52","0.152079202590395","0.81793017330923","1","0.238463721580082","1","baz,pk","FBgn0000163,FBgn0003090"
"","GO Molecular Function","GO:0036094","small molecule binding","2136","4","28.571","1.8684","0.902","0.154272569081119","0.811711288167335","1","0.240631670251528","1","pk,eIF5B,baz,CG32373","FBgn0003090,FBgn0026259,FBgn0000163,FBgn0052373"
"","GO Biological Processes","GO:0022607","cellular component assembly","1407","3","21.429","2.1273","1.089","0.160784190687828","0.793756656051355","1","0.248443846947332","1","unc-13-4A,baz,Sdc","FBgn0035756,FBgn0000163,FBgn0010415"
"","GO Biological Processes","GO:0008104","protein localization","742","2","14.286","2.6893","1.427","0.168446453931006","0.773538127184531","1","0.25578905967301","1","pk,baz","FBgn0003090,FBgn0000163"
